"","date","home.team","home.score","away.team","away.score","Temp"
"1","2010-08-28","Hercules",0,"Ath Bilbao",1,"T. 2010-2011"
"2","2010-08-28","Levante",1,"Sevilla",4,"T. 2010-2011"
"3","2010-08-28","Malaga",1,"Valencia",3,"T. 2010-2011"
"4","2010-08-29","Espanol",3,"Getafe",1,"T. 2010-2011"
"5","2010-08-29","La Coruna",0,"Zaragoza",0,"T. 2010-2011"
"6","2010-08-29","Mallorca",0,"Real Madrid",0,"T. 2010-2011"
"7","2010-08-29","Osasuna",0,"Almeria",0,"T. 2010-2011"
"8","2010-08-29","Santander",0,"Barcelona",3,"T. 2010-2011"
"9","2010-08-29","Sociedad",1,"Villarreal",0,"T. 2010-2011"
"10","2010-08-30","Ath Madrid",4,"Sp Gijon",0,"T. 2010-2011"
"11","2010-09-11","Ath Bilbao",1,"Ath Madrid",2,"T. 2010-2011"
"12","2010-09-11","Barcelona",0,"Hercules",2,"T. 2010-2011"
"13","2010-09-11","Real Madrid",1,"Osasuna",0,"T. 2010-2011"
"14","2010-09-11","Valencia",1,"Santander",0,"T. 2010-2011"
"15","2010-09-12","Getafe",4,"Levante",1,"T. 2010-2011"
"16","2010-09-12","Sevilla",0,"La Coruna",0,"T. 2010-2011"
"17","2010-09-12","Sp Gijon",2,"Mallorca",0,"T. 2010-2011"
"18","2010-09-12","Villarreal",4,"Espanol",0,"T. 2010-2011"
"19","2010-09-12","Zaragoza",3,"Malaga",5,"T. 2010-2011"
"20","2010-09-13","Almeria",2,"Sociedad",2,"T. 2010-2011"
"21","2010-09-18","Espanol",1,"Almeria",0,"T. 2010-2011"
"22","2010-09-18","Mallorca",2,"Osasuna",0,"T. 2010-2011"
"23","2010-09-18","Sociedad",1,"Real Madrid",2,"T. 2010-2011"
"24","2010-09-18","Sp Gijon",2,"Ath Bilbao",2,"T. 2010-2011"
"25","2010-09-19","Ath Madrid",1,"Barcelona",2,"T. 2010-2011"
"26","2010-09-19","Hercules",1,"Valencia",2,"T. 2010-2011"
"27","2010-09-19","Levante",1,"Villarreal",2,"T. 2010-2011"
"28","2010-09-19","Malaga",1,"Sevilla",2,"T. 2010-2011"
"29","2010-09-19","Santander",2,"Zaragoza",0,"T. 2010-2011"
"30","2010-09-20","La Coruna",2,"Getafe",2,"T. 2010-2011"
"31","2010-09-21","Ath Bilbao",3,"Mallorca",0,"T. 2010-2011"
"32","2010-09-21","Osasuna",3,"Sociedad",1,"T. 2010-2011"
"33","2010-09-21","Real Madrid",3,"Espanol",0,"T. 2010-2011"
"34","2010-09-22","Almeria",0,"Levante",1,"T. 2010-2011"
"35","2010-09-22","Barcelona",1,"Sp Gijon",0,"T. 2010-2011"
"36","2010-09-22","Valencia",1,"Ath Madrid",1,"T. 2010-2011"
"37","2010-09-22","Zaragoza",0,"Hercules",0,"T. 2010-2011"
"38","2010-09-23","Getafe",0,"Malaga",2,"T. 2010-2011"
"39","2010-09-23","Sevilla",1,"Santander",1,"T. 2010-2011"
"40","2010-09-23","Villarreal",1,"La Coruna",0,"T. 2010-2011"
"41","2010-09-25","Ath Bilbao",1,"Barcelona",3,"T. 2010-2011"
"42","2010-09-25","Levante",0,"Real Madrid",0,"T. 2010-2011"
"43","2010-09-25","Sp Gijon",0,"Valencia",2,"T. 2010-2011"
"44","2010-09-26","Ath Madrid",1,"Zaragoza",0,"T. 2010-2011"
"45","2010-09-26","Espanol",1,"Osasuna",0,"T. 2010-2011"
"46","2010-09-26","Hercules",2,"Sevilla",0,"T. 2010-2011"
"47","2010-09-26","La Coruna",0,"Almeria",2,"T. 2010-2011"
"48","2010-09-26","Mallorca",2,"Sociedad",0,"T. 2010-2011"
"49","2010-09-26","Santander",0,"Getafe",1,"T. 2010-2011"
"50","2010-09-27","Malaga",2,"Villarreal",3,"T. 2010-2011"
"51","2010-10-02","Sociedad",1,"Espanol",0,"T. 2010-2011"
"52","2010-10-02","Valencia",2,"Ath Bilbao",1,"T. 2010-2011"
"53","2010-10-02","Zaragoza",2,"Sp Gijon",2,"T. 2010-2011"
"54","2010-10-03","Almeria",1,"Malaga",1,"T. 2010-2011"
"55","2010-10-03","Barcelona",1,"Mallorca",1,"T. 2010-2011"
"56","2010-10-03","Getafe",3,"Hercules",0,"T. 2010-2011"
"57","2010-10-03","Osasuna",1,"Levante",1,"T. 2010-2011"
"58","2010-10-03","Real Madrid",6,"La Coruna",1,"T. 2010-2011"
"59","2010-10-03","Sevilla",3,"Ath Madrid",1,"T. 2010-2011"
"60","2010-10-03","Villarreal",2,"Santander",0,"T. 2010-2011"
"61","2010-10-16","Ath Madrid",2,"Getafe",0,"T. 2010-2011"
"62","2010-10-16","Barcelona",2,"Valencia",1,"T. 2010-2011"
"63","2010-10-16","Malaga",1,"Real Madrid",4,"T. 2010-2011"
"64","2010-10-17","Ath Bilbao",2,"Zaragoza",1,"T. 2010-2011"
"65","2010-10-17","La Coruna",0,"Osasuna",0,"T. 2010-2011"
"66","2010-10-17","Levante",2,"Sociedad",1,"T. 2010-2011"
"67","2010-10-17","Mallorca",0,"Espanol",1,"T. 2010-2011"
"68","2010-10-17","Santander",1,"Almeria",0,"T. 2010-2011"
"69","2010-10-17","Sp Gijon",2,"Sevilla",0,"T. 2010-2011"
"70","2010-10-18","Hercules",2,"Villarreal",2,"T. 2010-2011"
"71","2010-10-23","Real Madrid",6,"Santander",1,"T. 2010-2011"
"72","2010-10-23","Valencia",1,"Mallorca",2,"T. 2010-2011"
"73","2010-10-23","Zaragoza",0,"Barcelona",2,"T. 2010-2011"
"74","2010-10-24","Almeria",1,"Hercules",1,"T. 2010-2011"
