"","date","home.team","home.score","away.team","away.score","Max.2.5.O","Max.2.5.U","Avg.2.5.O","Avg.2.5.U"
"1",2012-03-05,"Levante",3,"Betis",1,2.25,1.8,2.11,1.7
"2",2012-03-10,"Betis",2,"Real Madrid",3,1.63,2.5,1.53,2.39
"3",2012-03-10,"Malaga",1,"Levante",0,1.91,2.11,1.81,1.98
"4",2012-03-10,"Sociedad",3,"Zaragoza",0,2.05,1.92,1.95,1.84
"5",2012-03-10,"Sp Gijon",1,"Sevilla",0,2.2,1.83,2.04,1.75
"6",2012-03-11,"Ath Madrid",2,"Granada",0,1.73,2.3,1.65,2.19
"7",2012-03-11,"Espanol",5,"Vallecano",1,2.02,1.93,1.93,1.85
"8",2012-03-11,"Osasuna",2,"Ath Bilbao",1,2.2,1.8,2.06,1.73
"9",2012-03-11,"Santander",0,"Barcelona",2,1.65,2.55,1.59,2.29
"10",2012-03-11,"Valencia",2,"Mallorca",2,1.95,2.02,1.82,1.96
"11",2012-03-12,"Villarreal",1,"Getafe",2,2.16,1.85,2,1.78
"12",2012-03-17,"Getafe",1,"Sociedad",0,2.26,1.78,2.15,1.68
"13",2012-03-17,"Granada",2,"Sp Gijon",1,2.28,1.75,2.19,1.66
"15",2012-03-17,"Vallecano",3,"Betis",0,2.05,1.94,1.96,1.82
"16",2012-03-17,"Zaragoza",1,"Osasuna",1,2.34,1.72,2.19,1.66
"17",2012-03-18,"Ath Bilbao",0,"Valencia",3,1.97,1.97,1.9,1.89
"18",2012-03-18,"Levante",1,"Villarreal",0,2.2,1.81,2.12,1.7
"19",2012-03-18,"Mallorca",2,"Ath Madrid",1,2.25,1.75,2.12,1.7
"20",2012-03-18,"Real Madrid",1,"Malaga",1,1.35,3.9,1.29,3.3
"21",2012-03-19,"Espanol",3,"Santander",1,2.2,1.82,2.07,1.73
"22",2012-03-20,"Barcelona",5,"Granada",3,1.24,4.8,1.21,4.06
"23",2012-03-20,"Osasuna",0,"Getafe",0,2.32,1.72,2.19,1.67
"24",2012-03-21,"Ath Madrid",2,"Ath Bilbao",1,1.88,2.14,1.76,2.03
"25",2012-03-21,"Sociedad",1,"Levante",3,2.18,1.81,2.08,1.72
"26",2012-03-21,"Sp Gijon",2,"Mallorca",3,2.32,1.71,2.21,1.65
"27",2012-03-21,"Valencia",1,"Zaragoza",2,1.72,2.42,1.61,2.26
"28",2012-03-21,"Villarreal",1,"Real Madrid",1,1.55,2.7,1.46,2.58
"29",2012-03-22,"Betis",1,"Espanol",1,2.11,1.85,2.04,1.76
"30",2012-03-22,"Malaga",4,"Vallecano",2,1.69,2.36,1.63,2.24
"31",2012-03-22,"Santander",0,"Sevilla",3,2.25,1.78,2.11,1.7
"32",2012-03-24,"Getafe",3,"Valencia",1,2.1,1.94,1.93,1.86
"33",2012-03-24,"Mallorca",0,"Barcelona",2,1.53,2.8,1.45,2.63
"34",2012-03-24,"Real Madrid",5,"Sociedad",1,1.38,3.5,1.32,3.26
"35",2012-03-25,"Ath Bilbao",1,"Sp Gijon",1,1.73,2.3,1.67,2.16
"36",2012-03-25,"Betis",1,"Santander",1,2.01,1.95,1.97,1.82
"37",2012-03-25,"Espanol",1,"Malaga",2,1.97,1.97,1.87,1.91
"38",2012-03-25,"Levante",0,"Osasuna",2,2.12,1.83,2.01,1.78
"39",2012-03-25,"Vallecano",0,"Villarreal",2,1.95,2.02,1.88,1.9
"40",2012-03-25,"Zaragoza",1,"Ath Madrid",0,2.05,1.94,1.93,1.85
"41",2012-03-26,"Granada",0,"Sevilla",3,2.25,1.8,2.13,1.69
"42",2012-03-31,"Barcelona",2,"Ath Bilbao",0,1.33,3.75,1.28,3.42
"43",2012-03-31,"Malaga",0,"Betis",2,1.8,2.25,1.69,2.13
"44",2012-03-31,"Osasuna",1,"Real Madrid",5,1.68,2.43,1.57,2.3
